CodigoRuta;DANE IED;IED;Tipo;Destino;Direccion
U-899;111000000000;COLEGIO FRIEDRICH NAUMANN (IED);URBANO;NA;NA
U-907;112000000000;COLEGIO GERARDO PAREDES (IED);URBANO;NA;NA
U-908;112000000000;COLEGIO GERARDO PAREDES (IED);URBANO;NA;NA
U-909;112000000000;COLEGIO GERARDO PAREDES (IED);URBANO;NA;NA
U-910;112000000000;COLEGIO GERARDO PAREDES (IED);URBANO;NA;NA
U-912;112000000000;COLEGIO GERARDO PAREDES (IED);URBANO;NA;NA
U-915;111000000000;COLEGIO GUSTAVO RESTREPO (IED);URBANO;NA;NA
U-916;111000000000;COLEGIO COMPARTIR RECUERDO (IED);URBANO;NA;NA
U-917;111000000000;COLEGIO LA AMISTAD (IED);URBANO;NA;NA
U-918;111000000000;COLEGIO LA AMISTAD (IED);URBANO;NA;NA
U-919;111000000000;COLEGIO LA AMISTAD (IED);URBANO;NA;NA
U-920;111000000000;COLEGIO LA AMISTAD (IED);URBANO;NA;NA
U-923;111000000000;COLEGIO CARLOS ARTURO TORRES (IED);URBANO;NA;NA
U-926;111000000000;COLEGIO LA MERCED (IED);URBANO;NA;NA
U-927;111000000000;COLEGIO LA MERCED (IED);URBANO;NA;NA
J-4037-15-V1;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE PAVCO;AC 57R S 72 00
J-4037-15-V2;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE PAVCO;AC 57R S 72 00
U-942;111000000000;COLEGIO LA AMISTAD (IED);URBANO;NA;NA
U-944;111000000000;COLEGIO ALFONSO LOPEZ PUMAREJO (IED);URBANO;NA;NA
U-945;111000000000;COLEGIO ALFONSO LOPEZ PUMAREJO (IED);URBANO;NA;NA
J-4037-16-V1;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE POLIDEPORTIVO LA ESTANCIA;CL 59 S 74 19
J-4037-16-V2;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE POLIDEPORTIVO LA ESTANCIA;CL 59 S 74 19
J-4037-19-V1;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE PAVCO;AC 57R S 72 00
J-4037-19-V2;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE PAVCO;AC 57R S 72 00
J-4037-26-V1;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE PAVCO ;AC 57R S 72 00
J-4037-29-V1;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE POLIDEPORTIVO LA ESTANCIA;CL 59 S 74 19
J-4037-30-V1;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE POLIDEPORTIVO LA ESTANCIA;CL 59 S 74 19
U-957;111000000000;COLEGIO BRAVO PAEZ (IED);URBANO;NA;NA
J-4037-32-V1;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE PAVCO ;AC 57R S 72 00
J-4047-01-V1;111000000000;COLEGIO RODRIGO LARA BONILLA (IED);COMPLEMENTARIA;EL TALLER (EL ENSUEÑO);CR 70C TV 70D BIS A
J-4047-02-V1;111000000000;COLEGIO RODRIGO LARA BONILLA (IED);COMPLEMENTARIA;EL TALLER (EL ENSUEÑO);CR 70C TV 70D BIS A
