CodigoRuta;DANE IED;IED;Tipo;Destino;Direccion
J-4055-24-V1;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;CREA VILLAS DEL DORADO;KR 105 70 58
J-4055-16-V4;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;CREA VILLAS DEL DORADO;KR 105 70 58
J-4055-16-V3;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;CREA VILLAS DEL DORADO;KR 105 70 58
J-4055-16-V2;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;CREA VILLAS DEL DORADO;KR 105 70 58
J-4055-16-V1;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;CREA VILLAS DEL DORADO;KR 105 70 58
J-4055-08-V3;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;CREA VILLAS DEL DORADO;KR 105 70 58
J-4055-08-V2;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;CREA VILLAS DEL DORADO;KR 105 70 58
J-4055-08-V1;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;CREA VILLAS DEL DORADO;KR 105 70 58
J-4055-07-V4;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;CREA VILLAS DEL DORADO;KR 105 70 58
J-4055-07-V3;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;CREA VILLAS DEL DORADO;KR 105 70 58
J-4055-07-V2;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;CREA VILLAS DEL DORADO;KR 105 70 58
J-4055-07-V1;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;CREA VILLAS DEL DORADO;KR 105 70 58
J-4055-23-V2;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;SEDE MÚSICA;DG 74B  87 40
J-4055-23-V1;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;SEDE MÚSICA;DG 74B  87 40
J-4055-22-V3;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;SEDE MÚSICA;DG 74B  87 40
J-4055-22-V2;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;SEDE MÚSICA;DG 74B  87 40
J-4055-22-V1;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;SEDE MÚSICA;DG 74B  87 40
J-4055-21-V1;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;SEDE MÚSICA;DG 74B  87 40
J-4055-11-V1;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;SEDE MÚSICA;DG 74B  87 40
J-4055-10-V3;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;SEDE MÚSICA;DG 74B  87 40
J-4055-10-V2;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;SEDE MÚSICA;DG 74B  87 40
J-4055-10-V1;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;SEDE MÚSICA;DG 74B  87 40
J-4055-09-V3;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;SEDE MÚSICA;DG 74B  87 40
J-4055-09-V2;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;SEDE MÚSICA;DG 74B  87 40
J-4055-09-V1;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;SEDE MÚSICA;DG 74B  87 40
J-4056-02-V1;1,11E+11;COLEGIO JOSE ASUNCION SILVA (IED);COMPLEMENTARIA;PARQUE LA SERENA;CL 90A 85 70
J-4056-01-V1;1,11E+11;COLEGIO JOSE ASUNCION SILVA (IED);COMPLEMENTARIA;PARQUE LA SERENA;CL 90A 85 70
J-4056-06-V1;1,11E+11;COLEGIO JOSE ASUNCION SILVA (IED);COMPLEMENTARIA;PARQUE LA SERENA;CL 90A 85 70
